Timestamp,Name,Intake To,Breed,Color,Sex,Age,Dob (If Available),Weight,Intake From,Dog Friendly,Kid Friendly,Cat Friendly,Other Notes,Petfinder Link,Email Address,Status,Color Category,Primary Breed,Breed Group,Intake To Category,Days In Rescue,Intake Month,Age Group,Weight Group,Intake Source Type,Data Completeness %,LOS Bucket,Dog ID
2025-02-17 12:55:28,Minnie,Adopted,Boston Mix,Black And White,Female,0.42,,15.0,Bell County,Yes,Yes,Unsure,Sibling to Mickie,,,Adopted,Black,Other,Other,Adopted,,2025-02,Puppy,Small,County Shelter,83.33333333333334,Historical,DOG-0063
2025-02-19 11:36:58,Mickie,Adopted,Boston Mix,Black And White,Male,0.42,,29.0,Bell County,Yes,Yes,Unsure,Sibling to Minnie,,,Adopted,Black,Other,Other,Adopted,,2025-02,Puppy,Medium,County Shelter,83.33333333333334,Historical,DOG-0064
2025-03-28 14:13:08,Minnie Puppy,Adopted,Pit Mix,Black And White,Female,14.0,,14.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Pit Bull,Terrier,Adopted,,2025-03,Senior,Small,County Shelter,83.33333333333334,Historical,DOG-0065
2024-12-30 13:59:17,Hope,Adopted,Lab/Hound Mix,Black,Female,1.0,,40.0,Stray,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/hope-74883636/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Black,Hound,Hound,Adopted,,2024-12,Young Adult,Medium,Stray,83.33333333333334,Historical,DOG-0066
2025-01-13 15:11:08,Buddy,Adopted,Pit Mix,Black,Male,2.0,,50.0,Bell County,Female Friendly ,Unknown,Unsure,,,https://www.petfinder.com/dog/buddy-74907728/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Black,Pit Bull,Terrier,Adopted,,2025-01,Young Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0067
2025-04-23 16:30:15,Sam,Adopted,Dachshund/Catahoula,Tricolor,Male,3.0,,25.0,Knox-Whitley,Only With Females,Yes,No,,,,Adopted,Tricolor,Other,Other,Adopted,,2025-04,Adult,Medium,Other,83.33333333333334,Historical,DOG-0068
2025-04-23 16:34:51,Heaven,Adopted,Cattle Dog Mix,Black And White,Female,5.0,,36.0,Bell County,Yes,Yes,Yes,,,,Adopted,Black,Other,Other,Adopted,,2025-04,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0069
2025-02-17 12:52:05,Daisy Hound,Adopted,Hound Mix,Tricolor,Female,2.0,,30.0,Bell County,Yes,Yes,Unsure,Under weight,,https://www.petfinder.com/dog/daisy-75609223/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,Tricolor,Hound,Hound,Adopted,,2025-02,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0070
2025-04-18 11:20:53,Molly,Adopted,Lab,White,Female,3.0,,40.0,Bell County,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/molly-76131255/ky/junction-city/fields-of-freedom-dog-rescue-ky602/,Adopted,White,Other,Other,Adopted,,2025-04,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0071
2025-01-22 16:16:35,Buck,Adopted,Bully Cane Corso Mix,Brown,Male,2.0,,90.0,Home Rescue,More Testing,Yes,Unsure,"Very playful, lots of energy, and loves toys. Owner gave up rights.",,"Dog for adoption - Buck, a Cane Corso Mix in Lancaster, KY | Petfinder",Adopted,Brown,Bully,Terrier,Adopted,,2025-01,Young Adult,XL,Rescue Transfer,83.33333333333334,Historical,DOG-0072
